"module","test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"redis","SET","82850.04","0.322","0.144","0.295","0.455","0.655","1.999"
"redis","GET","82236.84","0.321","0.160","0.295","0.495","0.655","2.007"
"bitcask","SET","44662.79","1.033","0.040","1.167","1.535","2.367","36.095"
"bitcask","GET","52137.64","0.523","0.088","0.503","0.687","1.199","6.327"
"map","SET","73421.44","0.356","0.144","0.311","0.535","1.111","2.511"
"map","GET","79681.27","0.329","0.152","0.303","0.463","0.575","0.935"
"leveldb","SET","57636.89","0.475","0.096","0.439","0.679","1.007","3.687"
"leveldb","GET","79302.14","0.333","0.152","0.303","0.471","0.687","2.711"
